,location,bhk,total_sqft,bath,price,encoded_loc
1482,Sarjapura - Attibele Road,3,1329.0,2.0,45.95,195
1483,others,2,916.0,2.0,42.0,230
1484,Hulimavu,1,688.0,1.0,50.0,105
1485,others,3,1358.0,3.0,50.0,230
1486,Kanakpura Road,2,1331.0,2.0,107.0,127
1487,Hoodi,2,1050.0,2.0,50.0,97
1488,Talaghattapura,3,2106.0,3.0,126.0,208
1489,Bhoganhalli,3,1718.0,3.0,90.2,43
1490,Raja Rajeshwari Nagar,3,1530.0,3.0,57.0,184
1491,5th Block Hbr Layout,2,1206.0,2.0,56.0,3
1492,Hebbal,2,1075.0,2.0,52.0,92
1493,Sarjapur  Road,3,1200.0,3.0,95.0,194
1494,Nagavara,4,2172.65,3.0,120.0,171
1495,Sahakara Nagar,3,1100.0,2.0,75.0,190
1496,others,3,1685.0,2.0,110.0,230
1497,CV Raman Nagar,2,740.0,2.0,37.0,53
1498,Magadi Road,4,1500.0,2.0,93.0,155
1499,Banashankari,3,1800.0,3.0,115.0,26
1500,Yelachenahalli,3,1700.0,3.0,130.0,225
1501,Uttarahalli,2,850.0,2.0,37.93,216
1502,Hennur Road,3,1891.0,3.0,139.0,96
1503,Jalahalli,2,1400.0,1.0,80.0,111
1504,Lakshminarayana Pura,2,1172.0,2.0,82.0,153
1505,Sonnenahalli,2,896.0,2.0,43.75,204
1506,Vijayanagar,2,1180.0,2.0,65.0,220
1507,others,2,850.0,2.0,33.0,230
1508,Anekal,1,530.0,1.0,18.0,17
1509,others,3,1550.0,3.0,110.0,230
1510,Kanakapura,3,1699.0,3.0,97.0,126
1511,Bellandur,4,2025.0,4.0,109.0,40
1512,others,1,500.0,1.0,20.0,230
1513,others,2,1146.0,2.0,38.5,230
1514,Seegehalli,2,800.0,1.0,50.0,198
1515,Abbigere,1,765.0,2.0,30.0,10
1516,Lingadheeranahalli,3,1521.0,3.0,94.99,154
1517,Gottigere,3,1600.0,2.0,55.0,82
1518,Hebbal Kempapura,3,2900.0,4.0,240.0,93
1519,others,3,1765.0,3.0,105.0,230
1520,Kasavanhalli,3,1980.0,3.0,88.0,130
1521,Amruthahalli,3,1900.0,3.0,135.0,14
1522,others,2,1265.0,2.0,70.0,230
1523,Bommasandra,2,1034.0,2.0,40.0,48
1524,others,2,1012.0,2.0,59.0,230
1525,Electronic City,2,1070.0,2.0,54.0,74
1526,Mahadevpura,4,3555.0,4.0,230.0,156
1527,5th Block Hbr Layout,3,1270.0,2.0,70.0,3
1528,others,3,2045.0,4.0,154.0,230
1529,Bellandur,3,1490.0,2.0,98.0,40
1530,Mysore Road,2,883.0,2.0,40.0,166
1531,Yeshwanthpur,1,671.0,1.0,36.85,229
1532,Haralur Road,3,2017.0,3.0,125.0,90
1533,Ramagondanahalli,3,1635.0,3.0,62.0,187
1534,Kanakpura Road,2,1296.0,2.0,89.0,127
1535,Budigere,2,1139.0,2.0,62.0,52
1536,CV Raman Nagar,2,1230.0,3.0,47.0,53
1537,others,1,581.91,2.0,25.0,230
1538,Binny Pete,2,1245.0,2.0,86.28,45
1539,others,3,1158.0,2.0,85.0,230
1540,Marathahalli,4,3951.0,4.0,220.0,161
1541,Ramamurthy Nagar,1,360.0,1.0,26.0,188
1542,Electronics City Phase 1,3,1350.0,3.0,55.0,76
1543,Green Glen Layout,3,1670.0,3.0,120.0,83
1544,Akshaya Nagar,3,1600.0,2.0,65.0,11
1545,Horamavu Banaswadi,2,1307.0,2.0,51.6,99
1546,7th Phase JP Nagar,3,1050.0,2.0,57.0,6
1547,Hennur Road,3,1703.0,3.0,101.0,96
1548,Kaggalipura,3,1210.0,2.0,58.0,119
1549,7th Phase JP Nagar,3,1343.0,2.0,56.41,6
1550,R.T. Nagar,3,1560.0,3.0,85.0,182
1551,others,2,925.0,2.0,51.0,230
1552,Kanakpura Road,3,1420.0,2.0,75.0,127
1553,others,2,1415.0,2.0,110.0,230
1554,others,2,1210.0,2.0,60.0,230
1555,Hoskote,3,1250.0,3.0,50.0,103
1556,9th Phase JP Nagar,2,1100.0,2.0,65.0,8
1557,others,2,1150.0,2.0,40.25,230
1558,Jakkur,2,1100.0,2.0,53.35,110
1559,Magadi Road,2,1350.0,1.0,100.0,155
1560,Panathur,3,1546.0,3.0,99.0,180
1561,Ambedkar Nagar,2,1424.0,2.0,90.0,13
1562,Bellandur,3,1398.0,3.0,68.0,40
1563,Brookefield,3,1476.0,3.0,105.0,51
1564,Magadi Road,3,1322.0,2.0,58.82,155
1565,others,2,1100.0,2.0,55.0,230
1566,Sarjapur,3,1285.0,2.0,68.0,193
1567,Ambalipura,2,1150.0,2.0,80.0,12
1568,Thanisandra,3,1430.0,2.0,56.0,209
1569,Marathahalli,3,1350.0,2.0,62.0,161
1570,Thubarahalli,2,1185.0,2.0,65.0,211
1571,Bannerghatta Road,3,1760.0,3.0,67.0,34
1572,Kanakpura Road,2,900.0,2.0,41.0,127
1573,Kanakpura Road,2,1297.0,2.0,105.0,127
1574,Ramamurthy Nagar,2,950.0,2.0,50.79,188
1575,BTM 2nd Stage,2,950.0,2.0,52.0,22
1576,Yeshwanthpur,2,1277.5,2.0,95.815,229
1577,Electronic City,3,1571.0,3.0,89.0,74
1578,Electronic City Phase II,2,1031.0,2.0,55.0,75
1579,Whitefield,2,1485.0,2.0,90.0,224
1580,Ananth Nagar,2,1109.0,2.0,60.0,16
1581,Koramangala,3,2200.0,3.0,180.0,144
1582,Whitefield,1,950.0,1.0,50.0,224
1583,Electronic City Phase II,2,1003.0,2.0,40.6,75
1584,9th Phase JP Nagar,2,1080.0,2.0,37.0,8
1585,Hulimavu,2,1255.0,2.0,73.0,105
1586,Banaswadi,2,1250.0,2.0,60.0,31
1587,Ramamurthy Nagar,3,1200.0,2.0,66.0,188
1588,others,2,824.0,2.0,60.0,230
1589,Kothanur,5,9600.0,5.0,550.0,146
1590,Uttarahalli,3,1330.0,2.0,47.0,216
1591,Kaikondrahalli,3,1220.0,3.0,56.0,120
1592,Electronic City,3,1111.0,3.0,50.0,74
1593,Kothannur,2,1197.0,2.0,47.88,145
1594,Marathahalli,4,2519.0,5.0,185.0,161
1595,others,3,1340.0,2.0,100.0,230
1596,Hoodi,3,1837.0,3.0,145.0,97
1597,Kudlu Gate,2,1238.0,2.0,55.0,148
1598,7th Phase JP Nagar,3,1405.0,2.0,59.01,6
1599,Doddaballapur,4,1690.0,3.0,80.0,68
1600,others,3,1620.0,2.0,110.0,230
1601,Kanakpura Road,3,1673.0,3.0,115.0,127
1602,Margondanahalli,2,1090.0,2.0,58.0,162
1603,Varthur,2,1112.0,2.0,40.0,217
1604,Marathahalli,3,1385.0,2.0,66.65,161
1605,Subramanyapura,2,985.0,2.0,58.0,205
1606,Kanakpura Road,1,825.0,1.0,36.29,127
1607,Kanakpura Road,2,1080.0,2.0,37.8,127
1608,Hosa Road,2,1430.0,2.0,97.52,101
1609,Kengeri Satellite Town,2,1050.0,2.0,43.0,136
1610,Kumaraswami Layout,4,2000.0,4.0,139.0,149
1611,Banashankari Stage VI,4,4800.0,4.0,190.0,30
1612,others,3,1533.0,3.0,115.0,230
1613,Prithvi Layout,2,1352.0,2.0,87.5,181
1614,Harlur,3,1754.0,3.0,125.0,91
1615,others,3,1560.0,3.0,85.0,230
1616,Whitefield,4,3584.0,4.0,199.0,224
1617,Channasandra,3,1470.0,2.0,90.0,56
1618,9th Phase JP Nagar,2,1035.0,2.0,45.0,8
1619,Kammanahalli,2,1160.0,2.0,52.0,124
1620,Jakkur,2,1100.0,2.0,52.0,110
1621,Horamavu Agara,2,1170.0,2.0,38.0,98
1622,Bannerghatta Road,1,595.0,1.0,31.83,34
1623,HSR Layout,3,1650.0,3.0,110.0,89
1624,others,3,1375.0,2.0,48.06,230
1625,Ramagondanahalli,2,1235.0,2.0,46.8,187
1626,others,1,750.0,1.0,25.0,230
1627,7th Phase JP Nagar,3,1400.0,3.0,115.0,6
1628,others,3,1270.0,2.0,50.79,230
1629,Bannerghatta Road,2,1105.0,2.0,51.0,34
1630,others,3,1375.0,2.0,85.0,230
1631,Attibele,4,2168.0,4.0,95.0,21
1632,Yelahanka,2,1065.0,2.0,40.84,226
1633,Whitefield,1,825.0,1.0,45.0,224
1634,others,2,1095.0,2.0,40.0,230
1635,others,3,1440.0,2.0,60.33,230
1636,Electronic City,2,870.0,2.0,39.5,74
1637,Panathur,2,1195.0,2.0,84.0,180
1638,others,2,1200.0,2.0,49.5,230
1639,Raja Rajeshwari Nagar,3,1530.0,3.0,61.2,184
1640,Padmanabhanagar,3,1708.0,2.0,90.5,178
1641,others,2,975.0,2.0,43.0,230
1642,KR Puram,2,750.0,2.0,25.0,115
1643,Iblur Village,3,1920.0,3.0,130.0,107
1644,Thanisandra,2,1183.0,2.0,58.56,209
1645,Mico Layout,3,1550.0,2.0,65.0,163
1646,Kaggadasapura,2,1110.0,2.0,53.0,118
1647,Kaggadasapura,2,1105.0,2.0,38.67,118
1648,Anekal,3,1800.0,3.0,68.0,17
1649,others,5,2800.0,4.0,200.0,230
1650,Bommanahalli,2,1000.0,2.0,29.9,47
1651,Prithvi Layout,2,1190.0,2.0,68.0,181
1652,Hebbal,4,3067.0,4.0,230.0,92
1653,Sarjapur  Road,3,1929.0,4.0,103.0,194
1654,Ramamurthy Nagar,3,1525.0,3.0,100.0,188
1655,Nehru Nagar,3,1775.0,3.0,110.0,174
1656,Banashankari,2,1125.0,2.0,63.0,26
1657,others,2,900.0,2.0,42.0,230
1658,Sarjapur  Road,2,1155.0,2.0,58.0,194
1659,Hulimavu,4,1200.0,4.0,75.0,105
1660,Sonnenahalli,2,1268.0,2.0,73.0,204
1661,others,3,1500.0,3.0,88.0,230
1662,Electronic City,1,630.0,1.0,47.0,74
1663,Seegehalli,3,1525.0,3.0,65.0,198
1664,Kaggadasapura,2,1060.0,2.0,48.0,118
1665,Lingadheeranahalli,3,1687.0,3.0,127.0,154
1666,Thanisandra,3,1847.0,3.0,123.0,209
1667,Begur Road,3,1410.0,2.0,53.0,39
1668,7th Phase JP Nagar,2,1075.0,2.0,42.99,6
1669,others,2,1010.0,2.0,46.0,230
1670,Kanakpura Road,2,983.0,2.0,50.6,127
1671,Kasturi Nagar,2,1101.0,2.0,65.0,131
1672,others,2,1140.0,2.0,76.0,230
1673,Kengeri Satellite Town,2,1007.0,2.0,42.0,136
1674,Bellandur,3,2039.0,3.0,168.0,40
1675,others,2,1198.0,2.0,84.0,230
1676,others,2,1370.0,2.0,75.0,230
1677,others,2,1316.0,2.0,55.5,230
1678,Kaggadasapura,3,1350.0,3.0,55.5,118
1679,others,2,1050.0,2.0,43.0,230
1680,KR Puram,3,1128.76,3.0,47.405,115
1681,Electronic City,2,921.0,2.0,34.0,74
1682,Kundalahalli,2,1010.0,2.0,49.27,150
1683,KR Puram,2,1015.0,2.0,43.0,115
1684,TC Palaya,3,1200.0,2.0,66.5,207
1685,Lakshminarayana Pura,2,1179.0,2.0,75.0,153
1686,Anjanapura,4,1850.0,4.0,86.0,18
1687,Bellandur,3,1605.0,3.0,85.0,40
1688,Banashankari Stage VI,4,2800.0,4.0,89.0,30
1689,others,6,2400.0,7.0,110.0,230
1690,others,2,1000.0,1.0,55.0,230
1691,Ramamurthy Nagar,2,1200.0,2.0,80.0,188
1692,Kammasandra,2,1200.0,2.0,66.0,125
1693,others,2,1200.0,2.0,50.0,230
1694,Hennur,2,1255.0,2.0,57.5,95
1695,Kanakpura Road,3,1592.0,3.0,125.0,127
1696,others,2,1313.0,2.0,58.27,230
1697,Kogilu,3,1934.0,3.0,150.0,142
1698,Harlur,2,1200.0,2.0,49.5,91
1699,Uttarahalli,6,3600.0,6.0,120.0,216
1700,Old Madras Road,2,935.0,2.0,45.0,177
1701,Bommasandra,2,877.0,2.0,30.0,48
1702,others,2,936.0,2.0,42.0,230
1703,Nagasandra,3,1470.0,2.0,110.0,170
1704,others,1,1050.0,1.0,70.0,230
1705,Hennur Road,2,1232.0,2.0,69.61,96
1706,Ambedkar Nagar,3,2225.0,4.0,169.0,13
1707,others,3,1200.0,2.0,80.0,230
1708,Dasarahalli,3,1901.0,3.0,119.0,64
1709,Sarjapur  Road,3,1819.0,3.0,100.0,194
1710,9th Phase JP Nagar,4,5000.0,4.0,290.0,8
1711,others,2,1256.0,2.0,60.0,230
1712,7th Phase JP Nagar,2,1100.0,2.0,44.0,6
1713,TC Palaya,4,4800.0,3.0,302.0,207
1714,Kothanur,3,1435.0,3.0,70.0,146
1715,6th Phase JP Nagar,4,3245.0,4.0,250.0,5
1716,Sarjapur  Road,3,1845.0,4.0,110.0,194
1717,Jigani,3,2400.0,4.0,130.0,113
1718,Ulsoor,2,1200.0,2.0,60.0,215
1719,Talaghattapura,3,2254.0,3.0,170.0,208
1720,others,2,1020.0,2.0,37.0,230
1721,Bommanahalli,1,515.0,1.0,25.0,47
1722,Lingadheeranahalli,3,1893.0,3.0,140.0,154
1723,others,2,830.0,2.0,34.0,230
1724,Singasandra,2,600.0,2.0,36.5,201
1725,Kasavanhalli,2,1200.0,2.0,78.0,130
1726,Sarjapur  Road,2,1233.0,2.0,77.65,194
1727,Bannerghatta Road,2,1255.0,2.0,65.26,34
1728,Begur Road,2,1200.0,2.0,37.8,39
1729,Varthur,3,2145.0,3.0,175.0,217
1730,1st Phase JP Nagar,5,1500.0,5.0,85.0,1
1731,Kothannur,2,740.0,2.0,34.0,145
1732,Kengeri,3,1250.0,3.0,48.0,135
1733,others,2,1210.0,2.0,40.0,230
1734,Sarjapur  Road,3,1525.0,2.0,60.0,194
1735,Kogilu,1,540.0,1.0,36.0,142
1736,Tumkur Road,3,1240.0,2.0,84.0,214
1737,Subramanyapura,3,1245.0,2.0,68.0,205
1738,Hosa Road,2,1104.0,2.0,36.43,101
1739,Bisuvanahalli,3,1075.0,2.0,35.99,46
1740,Whitefield,2,1155.0,2.0,60.0,224
1741,others,2,1520.0,2.0,62.0,230
1742,Harlur,2,1290.0,2.0,85.0,91
1743,others,3,2300.0,3.0,80.0,230
1744,Kannamangala,4,3000.0,4.0,200.0,128
1745,others,1,400.0,1.0,14.0,230
1746,Banashankari,3,1340.0,2.0,53.6,26
1747,Hennur Road,2,987.0,2.0,49.0,96
1748,Old Madras Road,3,1720.0,3.0,100.0,177
1749,Hebbal,2,1040.0,2.0,50.0,92
1750,Anandapura,2,900.0,2.0,64.0,15
1751,Raja Rajeshwari Nagar,2,1030.0,2.0,50.0,184
1752,Neeladri Nagar,3,2556.0,3.0,133.0,173
1753,Balagere,2,1028.0,2.0,31.86,25
1754,7th Phase JP Nagar,2,1270.0,2.0,83.0,6
1755,Sahakara Nagar,3,1655.0,3.0,115.0,190
1756,Electronics City Phase 1,2,940.0,2.0,40.0,76
1757,Domlur,2,1050.0,2.0,85.0,71
1758,others,2,946.0,2.0,38.0,230
1759,Vittasandra,2,1404.0,2.0,75.0,223
1760,Sarjapur,3,1525.0,2.0,48.0,193
1761,Kengeri,2,1025.0,2.0,57.0,135
1762,others,2,860.0,1.0,43.0,230
1763,Talaghattapura,3,1223.0,2.0,42.81,208
1764,Kothannur,2,1197.0,2.0,47.8,145
1765,Garudachar Palya,2,1150.0,2.0,52.75,79
1766,R.T. Nagar,2,1040.0,2.0,46.0,182
1767,Banashankari,2,1310.0,2.0,80.0,26
1768,Uttarahalli,3,1788.0,3.0,98.34,216
1769,Raja Rajeshwari Nagar,2,1144.0,2.0,38.55,184
1770,Anjanapura,2,1070.0,2.0,39.0,18
1771,others,2,1200.0,2.0,70.0,230
1772,Ambedkar Nagar,3,1862.0,3.0,120.0,13
1773,Margondanahalli,2,1200.0,2.0,58.5,162
1774,Kasavanhalli,3,1646.0,3.0,79.5,130
1775,Sarjapur  Road,4,4395.0,4.0,242.0,194
1776,Iblur Village,3,1995.0,3.0,135.0,107
1777,Hosakerehalli,2,1085.0,2.0,47.74,102
1778,Budigere,2,1139.0,2.0,56.8,52
1779,Haralur Road,2,1092.0,2.0,44.0,90
1780,others,3,1767.0,3.0,98.0,230
1781,others,3,1700.0,3.0,80.0,230
1782,Bellandur,3,1692.0,3.0,88.0,40
1783,6th Phase JP Nagar,3,1645.0,3.0,100.0,5
1784,Uttarahalli,3,1345.0,2.0,57.0,216
1785,Gollarapalya Hosahalli,3,1408.0,3.0,62.0,81
1786,Thigalarapalya,3,2072.0,4.0,150.0,210
1787,Electronics City Phase 1,3,2040.0,3.0,137.0,76
1788,Sarjapur  Road,3,1220.0,3.0,56.0,194
1789,others,2,1300.0,2.0,79.0,230
1790,Electronics City Phase 1,2,1150.0,2.0,39.0,76
1791,KR Puram,2,1470.0,2.0,86.0,115
1792,Hosa Road,2,1063.0,2.0,31.9,101
1793,others,2,1311.0,2.0,48.0,230
1794,others,3,1400.0,2.0,55.0,230
1795,Vidyaranyapura,2,1060.0,2.0,55.0,219
1796,Sector 7 HSR Layout,3,1760.0,3.0,145.0,197
1797,Whitefield,3,2010.0,3.0,92.0,224
1798,Kanakpura Road,3,1480.0,2.0,64.23,127
1799,8th Phase JP Nagar,3,1230.0,2.0,43.5,7
1800,Gottigere,3,1300.0,3.0,65.0,82
1801,Singasandra,2,1100.0,2.0,52.0,201
1802,Harlur,3,1752.12,3.0,116.0,91
1803,Marathahalli,2,957.0,2.0,46.9,161
1804,Balagere,1,790.5,1.0,41.9,25
1805,others,3,1942.0,3.0,102.0,230
1806,others,2,1000.0,2.0,53.0,230
1807,Yeshwanthpur,1,668.0,1.0,36.85,229
1808,Uttarahalli,2,1089.0,2.0,43.55,216
1809,Thanisandra,3,1800.0,3.0,90.0,209
1810,Yelahanka,2,1036.0,2.0,39.35,226
1811,Marathahalli,3,1583.0,3.0,105.0,161
1812,7th Phase JP Nagar,4,3300.0,4.0,150.0,6
1813,Padmanabhanagar,2,1100.0,2.0,65.0,178
1814,Vittasandra,2,1246.0,2.0,65.0,223
1815,Dodda Nekkundi,2,850.0,2.0,28.0,67
1816,Raja Rajeshwari Nagar,2,1196.0,2.0,51.51,184
1817,Thanisandra,3,1697.0,3.0,114.0,209
1818,TC Palaya,2,1000.0,2.0,64.0,207
1819,HRBR Layout,3,1567.0,3.0,90.0,88
1820,others,2,950.0,2.0,45.0,230
1821,others,2,1022.0,2.0,52.0,230
1822,Bharathi Nagar,2,1322.0,2.0,68.0,42
1823,others,4,1800.0,4.0,145.0,230
1824,Doddakallasandra,3,1460.0,2.0,58.39,69
1825,others,2,990.0,2.0,44.55,230
1826,Whitefield,3,1635.0,2.0,85.0,224
1827,Padmanabhanagar,4,3400.0,3.0,210.0,178
1828,EPIP Zone,4,3035.0,5.0,200.0,73
1829,others,3,1533.0,3.0,85.0,230
1830,Akshaya Nagar,3,1720.0,3.0,134.0,11
1831,Yeshwanthpur,2,1185.0,2.0,75.84,229
1832,Varthur Road,2,900.0,2.0,27.0,218
1833,Electronic City Phase II,2,1031.0,2.0,56.35,75
1834,Hennur,2,1259.0,2.0,57.0,95
1835,Raja Rajeshwari Nagar,3,1570.0,3.0,88.0,184
1836,Whitefield,2,1216.0,2.0,79.0,224
1837,Sarjapur  Road,3,1428.0,2.0,66.0,194
1838,Begur Road,2,1160.0,2.0,40.59,39
1839,others,3,1475.0,3.0,70.0,230
1840,Harlur,3,1754.0,3.0,135.0,91
1841,Rayasandra,3,1639.0,3.0,83.0,189
1842,Hennur Road,3,1804.0,3.0,102.0,96
1843,Whitefield,3,1200.0,3.0,56.2,224
1844,others,2,1135.0,2.0,55.0,230
1845,Begur Road,2,1260.0,2.0,46.62,39
1846,Hennur Road,3,2160.0,3.0,160.0,96
1847,Rachenahalli,2,1220.0,2.0,59.5,183
1848,Margondanahalli,2,1200.0,2.0,67.0,162
1849,Yelahanka,2,1300.0,2.0,65.0,226
1850,Cox Town,1,605.0,1.0,29.0,62
1851,Bhoganhalli,2,1444.0,2.0,75.97,43
1852,Amruthahalli,2,924.0,2.0,45.0,14
1853,Kaikondrahalli,2,1000.0,2.0,30.0,120
1854,Bisuvanahalli,2,845.0,2.0,29.0,46
1855,Kanakpura Road,2,700.0,2.0,35.0,127
1856,Kothanur,2,1187.0,2.0,58.0,146
1857,Kaggadasapura,3,1625.0,3.0,55.0,118
1858,Devarachikkanahalli,2,1200.0,2.0,83.0,66
1859,others,2,1452.55,2.0,110.0,230
1860,others,3,2357.0,3.0,151.0,230
1861,Kaval Byrasandra,2,1200.0,2.0,49.5,133
1862,Budigere,2,1139.0,2.0,56.85,52
1863,Kanakpura Road,3,1660.0,3.0,75.0,127
1864,Somasundara Palya,2,1448.0,2.0,68.0,202
1865,Kadugodi,3,1762.0,3.0,110.0,117
1866,Kaggadasapura,2,1105.0,2.0,38.65,118
1867,Yelahanka,3,1825.0,3.0,105.0,226
1868,Thanisandra,2,1185.0,2.0,43.0,209
1869,Hulimavu,2,1058.0,2.0,48.0,105
1870,Bellandur,2,1220.0,2.0,60.0,40
1871,Old Madras Road,2,1200.0,2.0,72.0,177
1872,Kengeri,3,1160.0,2.0,40.6,135
1873,others,3,1411.0,3.0,91.72,230
1874,Bannerghatta Road,3,1550.0,3.0,78.0,34
1875,Green Glen Layout,4,3250.0,4.0,230.0,83
1876,Haralur Road,3,2475.0,4.0,130.0,90
1877,Jakkur,4,3181.0,2.0,260.5,110
1878,7th Phase JP Nagar,4,2503.0,4.0,188.0,6
1879,Marathahalli,4,2524.0,5.0,190.0,161
1880,Kaggadasapura,2,1063.0,2.0,42.0,118
1881,Kanakpura Road,2,1077.0,2.0,37.7,127
1882,others,2,1200.0,3.0,44.0,230
1883,Hosakerehalli,4,1500.0,3.0,70.0,102
1884,Jalahalli,2,1045.0,2.0,76.77,111
1885,Kanakapura,3,1290.0,2.0,45.15,126
1886,Hoodi,2,1400.0,2.0,78.0,97
1887,Begur Road,3,1600.0,3.0,58.14,39
1888,Nagavara,3,1545.0,2.0,58.0,171
1889,Sarjapur  Road,3,1680.0,3.0,112.0,194
1890,others,2,1350.0,2.0,67.5,230
1891,Gottigere,2,950.0,2.0,38.0,82
1892,Thanisandra,2,1050.0,2.0,45.0,209
1893,Banashankari Stage V,3,1305.0,2.0,49.0,29
1894,others,3,1100.0,3.0,78.0,230
1895,Thanisandra,6,3500.0,5.0,160.0,209
1896,Begur Road,3,1634.0,3.0,83.33,39
1897,Prithvi Layout,2,1352.0,2.0,85.0,181
1898,Balagere,2,1145.0,2.0,65.0,25
1899,others,2,1240.0,2.0,43.79,230
1900,Bommasandra Industrial Area,2,1020.0,2.0,39.0,49
1901,Raja Rajeshwari Nagar,2,1168.0,2.0,61.0,184
1902,Electronic City Phase II,2,1205.0,2.0,75.0,75
1903,CV Raman Nagar,2,1028.0,2.0,49.0,53
1904,others,2,1175.0,2.0,48.27,230
1905,Pai Layout,3,1550.0,2.0,90.0,179
1906,Hoodi,5,2400.0,5.0,160.0,97
1907,Yelahanka,3,1603.0,3.0,96.0,226
1908,Marathahalli,3,1350.0,3.0,72.0,161
1909,KR Puram,1,714.0,1.0,28.0,115
1910,Whitefield,2,1215.0,2.0,65.0,224
1911,Malleshpalya,3,1405.0,2.0,77.0,159
1912,KR Puram,2,1142.0,2.0,51.0,115
1913,others,4,4000.0,4.0,170.0,230
1914,Whitefield,3,1870.0,3.0,90.0,224
1915,Subramanyapura,2,1313.0,2.0,73.0,205
1916,others,3,1945.0,3.0,120.0,230
1917,Thanisandra,3,1573.0,3.0,95.0,209
1918,Sarjapur  Road,2,1255.0,2.0,92.0,194
1919,Benson Town,4,1400.0,3.0,91.15,41
1920,Kannamangala,2,1235.0,2.0,43.63,128
1921,Sarjapur  Road,3,1380.0,2.0,52.0,194
1922,others,3,1465.0,2.0,74.72,230
1923,Thigalarapalya,2,1418.0,2.0,103.0,210
1924,Anekal,1,351.0,1.0,16.0,17
1925,Uttarahalli,2,1279.0,2.0,48.0,216
1926,Uttarahalli,3,1845.0,2.0,68.27,216
1927,others,3,1360.0,2.0,59.27,230
1928,others,3,1150.0,2.0,75.0,230
1929,Whitefield,2,1260.0,2.0,49.5,224
1930,others,3,1200.0,3.0,74.0,230
1931,Dasanapura,2,965.0,2.0,42.5,63
1932,Hoodi,3,1350.0,2.0,48.0,97
1933,Bhoganhalli,2,1447.0,2.0,75.97,43
1934,others,3,1229.0,3.0,86.03,230
1935,Kudlu,2,1027.0,2.0,43.0,147
1936,Gottigere,2,1153.0,2.0,48.5,82
1937,Whitefield,4,2856.0,5.0,145.5,224
1938,Malleshpalya,2,1065.0,2.0,50.0,159
1939,others,2,1030.0,2.0,61.0,230
1940,Mallasandra,2,1340.0,2.0,61.0,158
1941,others,1,600.0,1.0,32.0,230
1942,Begur Road,3,1410.0,2.0,44.42,39
1943,Varthur,2,1055.0,2.0,45.35,217
1944,Yelahanka,2,1304.0,2.0,79.0,226
1945,Kammasandra,2,990.0,2.0,31.5,125
1946,7th Phase JP Nagar,2,1035.0,2.0,39.33,6
1947,Tumkur Road,1,700.0,1.0,30.09,214
1948,Sonnenahalli,2,1120.0,2.0,43.0,204
1949,Haralur Road,2,1300.0,2.0,73.0,90
1950,Tumkur Road,2,1239.0,2.0,82.0,214
1951,Hosa Road,2,1365.0,2.0,92.0,101
1952,Subramanyapura,3,1130.0,2.0,45.19,205
1953,Green Glen Layout,3,1776.42,3.0,105.0,83
1954,others,2,1107.0,2.0,33.0,230
1955,Nagavara,3,2319.0,3.0,180.0,171
1956,others,3,1520.0,3.0,80.0,230
1957,Kannamangala,3,1536.0,3.0,89.0,128
1958,others,4,3000.0,4.0,240.0,230
1959,others,2,1050.0,2.0,38.0,230
1960,Hoodi,3,1850.0,3.0,146.0,97
1961,Billekahalli,2,1112.0,2.0,62.0,44
1962,Marathahalli,3,1535.0,3.0,72.5,161
1963,Kanakpura Road,2,1050.0,2.0,35.0,127
1964,7th Phase JP Nagar,3,1250.0,3.0,65.0,6
1965,Kalena Agrahara,2,1187.0,2.0,52.0,121
1966,9th Phase JP Nagar,2,1164.0,2.0,56.0,8
1967,Electronic City Phase II,3,1395.0,2.0,62.78,75
1968,Arekere,3,2072.0,3.0,108.0,20
1969,Kanakpura Road,3,1450.0,3.0,60.91,127
1970,Bannerghatta Road,3,1550.0,3.0,82.0,34
1971,others,2,1315.0,2.0,90.0,230
1972,others,2,1210.0,2.0,72.0,230
1973,Bisuvanahalli,3,1075.0,2.0,47.0,46
1974,others,3,1215.0,3.0,42.2,230
1975,Kaggadasapura,3,1470.0,2.0,75.0,118
1976,others,4,30000.0,4.0,2100.0,230
1977,Hosur Road,3,1590.0,2.0,125.0,104
1978,Kanakpura Road,2,1050.0,2.0,36.75,127
1979,Raja Rajeshwari Nagar,2,1306.0,2.0,55.91,184
1980,others,3,1445.0,3.0,64.0,230
1981,Sarjapur  Road,3,1220.0,3.0,58.0,194
1982,Sarjapur,4,3190.0,3.0,160.0,193
1983,Ramagondanahalli,2,1215.0,2.0,51.26,187
1984,Budigere,3,1920.0,2.0,88.0,52
1985,Dodda Nekkundi,2,1390.0,2.0,60.0,67
1986,Hoodi,2,1196.0,2.0,71.74,97
1987,Bannerghatta Road,3,1550.0,2.0,75.0,34
1988,Thigalarapalya,2,1418.0,2.0,101.0,210
1989,Varthur Road,3,1655.0,3.0,115.0,218
1990,KR Puram,2,1115.0,2.0,33.45,115
1991,others,2,1170.0,2.0,68.0,230
1992,Anekal,2,1035.0,2.0,38.3,17
1993,Singasandra,3,1306.0,2.0,58.0,201
1994,Kengeri,2,750.0,2.0,22.0,135
1995,Thanisandra,3,1917.0,3.0,122.0,209
1996,Kaggadasapura,3,1615.0,3.0,58.0,118
1997,Marathahalli,2,1071.0,2.0,52.25,161
1998,5th Phase JP Nagar,3,1400.0,2.0,88.0,4
1999,Tumkur Road,2,1246.0,2.0,82.0,214
2000,Sarjapur,2,1215.0,2.0,40.0,193
